district_id,district_name
880,DENVER COUNTY 1
900,DOUGLAS COUNTY RE 1
20,ADAMS 12 FIVE STAR
130,CHERRY CREEK 5
1040,ACADEMY 20
30,ADAMS COUNTY 14
2700,PUEBLO COUNTY 70
980,HARRISON 2
1420,JEFFERSON COUNTY R 1
970,CALHAN RJ 1
910,EAGLE COUNTY RE 50
2640,ASPEN 1
960,AGATE 300
890,DOLORES COUNTY RE 2
2810,CENTER 26 JT
3120,GREELEY 6
3100,WINDSOR RE 4
2540,FOWLER R 4J
1620,AGUILAR REORGANIZED 6
470,ST VRAIN VALLEY RE 1J
1390,HUERFANO RE 1
220,ARCHULETA COUNTY 50 JT
1195,GARFIELD RE 2
8001,CHARTER INSTITUTE
3030,AKRON R 1
100,ALAMOSA RE 11J
480,BOULDER VALLEY RE 2
123,SHERIDAN 2
1550,POUDRE R 1
10,MAPLETON 1
2660,LAMAR RE 2
1828,VALLEY RE 1
1000,FOUNTAIN 8
120,ENGLEWOOD 1
180,ADAMS ARAPAHOE 28J
1520,DURANGO 9 R
580,SOUTH CONEJOS RE 10
2000,MESA COUNTY VALLEY 51
1010,COLORADO SPRINGS 11
140,LITTLETON 6
3040,ARICKAREE R 2
1180,ROARING FORK RE 1
2405,FORT MORGAN RE 3
1560,THOMPSON R 2J
1110,FALCON 49
2035,MONTEZUMA CORTEZ RE 1
1530,BAYFIELD R 10 JT
40,BRIGHTON 27J
2690,PUEBLO CITY 60
3085,EATON RE 2
50,BENNETT 29 J
1490,BETHUNE R 5
1750,BRANSON REORGANIZED 82
3146,BRIGGSDALE RE 10
2395,BRUSH RE 2J
490,BUENA VISTA R 31
1500,BURLINGTON RE 6J
190,BYERS 32J
270,CAMPO RE 6
1140,CANON CITY RE 1
550,NORTH CONEJOS RE 1J
3090,KEENESBURG RE 3J
870,DELTA COUNTY 50J
1580,TRINIDAD 1
2180,MONTROSE COUNTY RE 1J
640,CENTENNIAL R 1
2560,CHERAW 31
1020,CHEYENNE MOUNTAIN 12
520,CHEYENNE COUNTY RE 5
70,WESTMINSTER 50
1330,GILPIN COUNTY RE 1
